,"    ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
10," A",0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,53%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
11," A",0%,0%,37%,0%,0%,0%,0%,0%,0%,0%,0%,100%,18%,0%,0%,0%,79%,0%,0%,0%,0%,0%,0%,0%,0%,0%
12," A",0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%
13," A",0%,0%,92%,0%,0%,0%,0%,0%,0%,0%,0%,85%,98%,0%,0%,0%,47%,2%,0%,0%,0%,0%,0%,0%,0%,0%
14," A",0%,0%,70%,0%,0%,0%,0%,0%,0%,0%,0%,85%,98%,0%,0%,0%,1%,0%,0%,0%,2%,0%,0%,0%,0%,0%
15," A",0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
16," A",0%,0%,0%,0%,0%,0%,0%,0%,0%,98%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
17," A",0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%
18," A",0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%
19," A",0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%
20," A",0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"AVG"," A",0,0,3,0,0,0,0,0,0,1,0,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0
