A & {\tiny 0\% } & {\tiny 0\% } & {\tiny 34\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 10\% } & {\tiny 0\% } & {\tiny 37\% } & {\tiny 24\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 43\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } \\
B & {\tiny 0\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 2\% } & {\tiny 0\% } & {\tiny 68\% } & {\tiny 0\% } \\
C & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 29\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 2\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 16\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 9\% } & {\tiny 0\% } & {\tiny 13\% } & {\tiny 19\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 78\% } & {\tiny 0\% } & {\tiny 0\% } \\
D & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 69\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 69\% } & {\tiny 0\% } & {\tiny 10\% } & {\tiny 0\% } \\
E & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 92\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 26\% } & {\tiny 1\% } \\
F & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 8\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 15\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 86\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } \\
G & {\tiny 0\% } & {\tiny 0\% } & {\tiny 6\% } & {\tiny 0\% } & {\tiny 3\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 10\% } & {\tiny 18\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 9\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 6\% } & {\tiny 43\% } & {\tiny 9\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 2\% } & {\tiny 0\% } & {\tiny 2\% } \\
H & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 31\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 3\% } & {\tiny 0\% } & {\tiny 35\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 10\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 57\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 2\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } \\
I & {\tiny 3\% } & {\tiny 1\% } & {\tiny 6\% } & {\tiny 10\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 8\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 86\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } \\
J & {\tiny 12\% } & {\tiny 4\% } & {\tiny 0\% } & {\tiny 5\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 10\% } & {\tiny 0\% } & {\tiny 92\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 14\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } \\
K & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 9\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 2\% } & {\tiny 70\% } & {\tiny 0\% } & {\tiny 93\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } \\
L & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 58\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 100\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 5\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } \\
M & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 3\% } & {\tiny 10\% } & {\tiny 0\% } & {\tiny 1\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 11\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 3\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 0\% } & {\tiny 46\% } & {\tiny 0\% } & {\tiny 10\% } & {\tiny 0\% } \\
