,"    ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
0," A",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1," A",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2," A",0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
3," A",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
4," A",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
5," A",0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,97%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
6," A",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
7," A",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
8," A",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
9," A",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
10," A",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
"AVG"," A",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","   ","    Z","    Y","    X","    W","    V","    U","    T","    S","    R","    Q","    P","    O","    N","    M","    L","    K","    J","    I","    H","    G","    F","    E","    D","    C","    B","    A"
0," B",0%,0%,0%,0%,0%,0%,0%,1%,2%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1," B",0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,2%,100%,0%
2," B",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
3," B",82%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,70%,0%
